Frequency	Gain
400.00000	 0.12865
400.55633	 0.12907
401.11266	 0.12950
401.66898	 0.12993
402.22531	 0.13036
402.78164	 0.13080
403.33797	 0.13123
403.89430	 0.13167
404.45063	 0.13212
405.00695	 0.13256
405.56328	 0.13301
406.11961	 0.13345
406.67594	 0.13391
407.23227	 0.13436
407.78860	 0.13482
408.34492	 0.13527
408.90125	 0.13573
409.45758	 0.13620
410.01391	 0.13666
410.57024	 0.13713
411.12656	 0.13760
411.68289	 0.13808
412.23922	 0.13855
412.79555	 0.13903
413.35188	 0.13951
413.90821	 0.14000
414.46453	 0.14048
415.02086	 0.14097
415.57719	 0.14147
416.13352	 0.14196
416.68985	 0.14246
417.24618	 0.14296
417.80250	 0.14346
418.35883	 0.14397
418.91516	 0.14448
419.47149	 0.14499
420.02782	 0.14551
420.58414	 0.14603
421.14047	 0.14655
421.69680	 0.14707
422.25313	 0.14760
422.80946	 0.14813
423.36579	 0.14866
423.92211	 0.14920
424.47844	 0.14974
425.03477	 0.15028
425.59110	 0.15083
426.14743	 0.15138
426.70376	 0.15193
427.26008	 0.15248
427.81641	 0.15304
428.37274	 0.15361
428.92907	 0.15417
429.48540	 0.15474
430.04172	 0.15531
430.59805	 0.15589
431.15438	 0.15647
431.71071	 0.15705
432.26704	 0.15764
432.82337	 0.15823
433.37969	 0.15883
433.93602	 0.15943
434.49235	 0.16003
435.04868	 0.16063
435.60501	 0.16124
436.16134	 0.16186
436.71766	 0.16247
437.27399	 0.16309
437.83032	 0.16372
438.38665	 0.16435
438.94298	 0.16498
439.49930	 0.16562
440.05563	 0.16626
440.61196	 0.16690
441.16829	 0.16755
441.72462	 0.16821
442.28095	 0.16887
442.83727	 0.16953
443.39360	 0.17020
443.94993	 0.17087
444.50626	 0.17154
445.06259	 0.17222
445.61892	 0.17291
446.17524	 0.17360
446.73157	 0.17429
447.28790	 0.17499
447.84423	 0.17569
448.40056	 0.17640
448.95688	 0.17711
449.51321	 0.17783
450.06954	 0.17856
